jefe_hogar,genero,edad,estudiante,estado_civli,telefono_propio,smart_phone,desde_cuando_smart,mas_un_SIM,tipo_contrato,n_recarga_mensual,gasto_mensual_tel,empresa,porque_empresa,piensa_cambiarse,investigo_competencia,es_facil_cambiarse,paga_mas_esperado,nse,pobreza,empleo,ingreso_mensual,dist
1.0,2.0,45.0,2.0,5.0,1.0,1.0,1.0,2.0,Prepago,3.0,30.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,809.1666666666666,10101
1.0,1.0,28.0,2.0,6.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,1.0,23.0,2.0,1.0,3.0,2.0,4.0,3.0,1.0,375.0,10101
1.0,2.0,37.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,65.0,2.0,24.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,2700.0,10101
1.0,1.0,39.0,2.0,2.0,1.0,2.0,1.0,2.0,Prepago,3.0,20.0,1.0,23.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,1333.3333333333333,10109
2.0,1.0,17.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,35.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,700.0,10109
2.0,2.0,14.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,40.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,0.0,10109
2.0,2.0,14.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,40.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,0.0,10109
1.0,2.0,33.0,2.0,6.0,1.0,2.0,1.0,2.0,Prepago,3.0,20.0,1.0,22.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,550.0,10109
2.0,2.0,19.0,1.0,6.0,1.0,1.0,1.0,2.0,Prepago,5.0,80.0,1.0,23.0,1.0,4.0,5.0,2.0,5.0,3.0,2.0,0.0,10109
1.0,1.0,25.0,2.0,1.0,1.0,2.0,1.0,2.0,Pospago,0.0,25.0,1.0,23.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,1500.0,10109
2.0,2.0,61.0,2.0,2.0,1.0,2.0,1.0,2.0,Pospago,0.0,25.0,1.0,22.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,0.0,10109
1.0,1.0,44.0,2.0,2.0,1.0,2.0,1.0,2.0,Prepago,2.0,10.0,1.0,23.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,250.0,10109
1.0,1.0,48.0,2.0,2.0,1.0,2.0,1.0,2.0,Prepago,2.0,20.0,1.0,22.0,2.0,1.0,1.0,2.0,5.0,3.0,1.0,1350.0,10109
2.0,2.0,17.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,4.0,25.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,0.0,10109
1.0,1.0,43.0,2.0,2.0,1.0,2.0,2.0,2.0,Prepago,4.0,15.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,600.0,10109
2.0,2.0,23.0,1.0,2.0,1.0,1.0,2.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,1.0,4.0,2.0,5.0,3.0,2.0,217.08333333333331,10109
1.0,2.0,41.0,2.0,5.0,1.0,1.0,2.0,2.0,Prepago,4.0,20.0,4.0,23.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,300.0,10109
2.0,1.0,16.0,1.0,6.0,1.0,1.0,2.0,2.0,Prepago,2.0,10.0,4.0,23.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,608.3333333333334,10109
2.0,2.0,25.0,2.0,1.0,1.0,1.0,2.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,0.0,10109
1.0,1.0,56.0,2.0,1.0,1.0,2.0,2.0,2.0,Pospago,0.0,20.0,3.0,23.0,2.0,1.0,1.0,2.0,5.0,3.0,1.0,300.0,10109
1.0,1.0,27.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,72.0,1.0,23.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2700.0,10109
1.0,1.0,45.0,2.0,2.0,1.0,2.0,2.0,2.0,Prepago,3.0,20.0,1.0,23.0,2.0,1.0,4.0,2.0,5.0,3.0,1.0,133.33333333333334,10109
2.0,1.0,24.0,1.0,6.0,1.0,1.0,2.0,2.0,Pospago,0.0,40.0,1.0,23.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,912.5,10109
1.0,1.0,62.0,2.0,2.0,1.0,2.0,1.0,2.0,Pospago,0.0,29.9,1.0,23.0,2.0,2.0,3.0,2.0,5.0,3.0,1.0,750.0,10109
2.0,2.0,18.0,1.0,6.0,1.0,1.0,1.0,2.0,Prepago,3.0,10.0,1.0,23.0,2.0,5.0,4.0,2.0,5.0,3.0,2.0,0.0,10109
1.0,2.0,64.0,2.0,3.0,1.0,2.0,2.0,2.0,Prepago,3.0,10.0,1.0,23.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,0.0,10109
2.0,2.0,32.0,2.0,6.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,1.0,23.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,200.0,10109
2.0,2.0,24.0,2.0,6.0,1.0,1.0,1.0,2.0,Prepago,2.0,10.0,1.0,23.0,2.0,3.0,2.0,2.0,5.0,3.0,1.0,100.0,10109
1.0,1.0,28.0,2.0,2.0,1.0,1.0,2.0,2.0,Prepago,3.0,10.0,1.0,23.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,1191.6666666666667,10109
2.0,2.0,24.0,2.0,2.0,1.0,1.0,2.0,2.0,Prepago,2.0,5.0,1.0,23.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,100.0,10109
1.0,1.0,52.0,2.0,2.0,1.0,1.0,1.0,2.0,Prepago,4.0,20.0,1.0,23.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,333.3333333333333,10109
